REFERENCE;type de bijoux;description;image;couleur;TITRE;POIDS OR;type de pierres;Poids pierre;tailles disponibles;quantité_ par_ taille;price_euros;stock;fabrication_possible;evenement
SAR01695;bague;alliance;;YG;9;1,68;;0,090;48,50,52,54,56,58,424;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01789;bague;alliance;;YG;9;1,30;;0,027;48,50,52,54,56,58,425;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01812;bague;alliance;;YG;9;1,00;;0,020;48,50,52,54,56,58,426;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01818;bague;alliance;;YG;9;0,88;;0,040;48,50,52,54,56,58,427;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01963;bague;alliance;;YG;9;1,36;;0,070;48,50,52,54,56,58,428;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02047;bague;alliance;;YG;9;1,20;;0,200;48,50,52,54,56,58,429;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02067;bague;alliance;;YG;9;1,08;;0,039;48,50,52,54,56,58,430;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02074;bague;alliance;;YG;9;1,30;;0,030;48,50,52,54,56,58,431;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02087;bague;alliance;;YG;9;1,30;;0,035;48,50,52,54,56,58,432;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02089;bague;alliance;;YG;9;1,42;;0,040;48,50,52,54,56,58,433;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02117;bague;alliance;;YG;9;1,12;;0,040;48,50,52,54,56,58,434;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02119;bague;alliance;;YG;9;1,20;;0,050;48,50,52,54,56,58,435;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02128;bague;alliance;;YG;9;1,25;;0,040;48,50,52,54,56,58,436;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02261;bague;alliance;;YG;9;1,60;;0,049;48,50,52,54,56,58,437;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02263;bague;alliance;;YG;9;1,50;;0,046;48,50,52,54,56,58,438;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02273;bague;alliance;;YG;9;1,50;;0,079;48,50,52,54,56,58,439;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02336;bague;alliance;;YG;9;2,00;;0,100;48,50,52,54,56,58,440;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02359;bague;alliance;;YG;9;0,96;diamant;0,020;48,50,52,54,56,58,441;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02400;bague;alliance;;YG;9;1,75;;0,077;48,50,52,54,56,58,442;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02534;bague;alliance;;YG;9;1,94;;0,076;48,50,52,54,56,58,443;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02563;bague;alliance;;2T;9;1,60;;0,040;48,50,52,54,56,58,444;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26044;bague;alliance;;YG;9;1,65;;0,089;48,50,52,54,56,58,445;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26046;bague;alliance;;YG;9;1,85;;0,090;48,50,52,54,56,58,446;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26048;bague;alliance;;YG;9;2,10;;0,090;48,50,52,54,56,58,447;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26052;bague;alliance;;YG;9;1,48;;0,100;48,50,52,54,56,58,448;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27785;bague;alliance;;YG;9;1,55;;0,049;48,50,52,54,56,58,449;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27786;bague;alliance;;YG;9;1,22;saphir;0,039;48,50,52,54,56,58,450;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28170A ;bague;alliance;;YG;9;1,45;;0,044;48,50,52,54,56,58,451;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28170B ;bague;alliance;;YG;9;1,20;tanzanite;0,007;48,50,52,54,56,58,452;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28177A ;bague;alliance;;YG;9;1,18;;0,026;48,50,52,54,56,58,453;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28177C ;bague;alliance;;YG;9;1,12;;0,026;48,50,52,54,56,58,454;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28177D ;bague;alliance;;YG;9;1,10;;0,080;48,50,52,54,56,58,455;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28227F;bague;alliance;;YG;9;1,65;;0,600;48,50,52,54,56,58,456;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28236E ;bague;alliance;;YG;9;1,40;;0,550;48,50,52,54,56,58,457;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28236C ;bague;alliance;;YG;9;1,35;;0,850;48,50,52,54,56,58,458;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28236D ;bague;alliance;;YG;9;1,38;;0,650;48,50,52,54,56,58,459;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28240B ;bague;alliance;;YG;9;1,10;;0,250;48,50,52,54,56,58,460;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28240C ;bague;alliance;;YG;9;1,02;;0,053;48,50,52,54,56,58,461;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28240D ;bague;alliance;;YG;9;0,98;;0,080;48,50,52,54,56,58,462;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28265C ;bague;alliance;;YG;9;1,30;;0,056;48,50,52,54,56,58,463;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28265D ;bague;alliance;;YG;9;1,32;citrine;0,080;48,50,52,54,56,58,464;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28265F ;bague;alliance;;YG;9;1,26;;0,060;48,50,52,54,56,58,465;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28268C ;bague;alliance;;YG;9;1,55;;0,025;48,50,52,54,56,58,466;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28332B ;bague;alliance;;YG;9;1,10;rhodolite;0,011;48,50,52,54,56,58,467;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28354B ;bague;alliance;;YG;9;1,52;;0,150;48,50,52,54,56,58,468;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28358A ;bague;alliance;;YG;9;1,32;;0,080;48,50,52,54,56,58,469;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28360A ;bague;alliance;;YG;9;0,85;;0,026;48,50,52,54,56,58,470;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28361B ;bague;alliance;;YG;9;1,30;;0,100;48,50,52,54,56,58,471;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28366D ;bague;alliance;;YG;9;1,55;;0,044;48,50,52,54,56,58,472;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28370D ;bague;alliance;;YG;9;1,18;;0,026;48,50,52,54,56,58,473;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28371;bague;alliance;;YG;9;0,95;;0,026;48,50,52,54,56,58,474;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28655;bague;alliance;;YG;9;1,40;;0,013;48,50,52,54,56,58,475;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00916;bague;alliance;;YG;9;2,26;;0,003;48,50,52,54,56,58,476;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00966;bague;alliance;;YG;9;1,86;;0,046;48,50,52,54,56,58,477;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00967;bague;alliance;;YG;9;1,76;saphir;0,012;48,50,52,54,56,58,478;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00997;bague;SAPHIR;;YG;9;1,65;;0,108;48,50,52,54,56,58,479;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01659;bague;RUBIS;;YG;9;1,75;;0,120;48,50,52,54,56,58,480;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01660;bague;EMERAUDE;;YG;9;2,98;;0,023;48,50,52,54,56,58,481;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01826;bague;TANZANITE;;YG;9;1,70;perle;0,216;48,50,52,54,56,58,482;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02016;bague;AMETHYSTE;;YG;9;1,75;;0,050;48,50,52,54,56,58,483;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02408;bague;TOPAZE;;YG;9;2,10;saphir;0,089;48,50,52,54,56,58,484;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02434C;bague;TOPAZE;;YG;9;1,02;;0,100;48,50,52,54,56,58,485;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02434D;bague;TOPAZE;;YG;9;1,07;;0,080;48,50,52,54,56,58,486;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02434E;bague;TOPAZE;;YG;9;1,05;;0,070;48,50,52,54,56,58,487;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02434F;bague;TOPAZE;;YG;9;1,04;;0,100;48,50,52,54,56,58,488;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02434G;bague;TOPAZE;;YG;9;1,02;;0,060;48,50,52,54,56,58,489;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02437A;bague;TOPAZE;;YG;9;1,32;;0,034;48,50,52,54,56,58,490;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02437B;bague;TOPAZE;;YG;9;1,38;;0,250;48,50,52,54,56,58,491;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02437C;bague;TOPAZE;;YG;9;1,25;;0,034;48,50,52,54,56,58,492;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02456;bague;TOPAZE;;YG;9;1,85;;0,700;48,50,52,54,56,58,493;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02457;bague;TOPAZE;;YG;9;1,96;;0,079;48,50,52,54,56,58,494;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02542;bague;TOPAZE;;YG;9;1,30;;0,015;48,50,52,54,56,58,495;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02547;bague;TOPAZE;;YG;9;1,92;;0,850;48,50,52,54,56,58,496;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
